link,text,date,no_likes,no_tweets,sentiment
https://twitter.com/Sammy__tod/status/1749459025467441161#m,I do think that there is a current level of complacency in the financial markets in respect of the inflation outlook.,"Jan 22, 2024 · 3:48 PM UTC",0,0,0.4767
https://twitter.com/aurelian_costel/status/1749458938485993614#m,Financial markets live https://www.teletrader.com/us-imposes-new-sanctions-on-hamas-shraq/news/details/61310433 via @TeleTrader,"Jan 22, 2024 · 3:48 PM UTC",0,0,0.0
https://twitter.com/GODLIKE_TRADER/status/1749458937177354513#m,As a trader waiting should be your hobby. Because even the financial markets is said to be 95% waiting and 5% executing or actions.🧑🏻‍💻🧑🏻‍💻,"Jan 22, 2024 · 3:48 PM UTC",0,0,0.0
https://twitter.com/aurelian_costel/status/1749458723523686901#m,Financial markets live https://www.teletrader.com/cryptos-decline-bitcoin-falls-more-than-2/news/details/61310264 via @TeleTrader,"Jan 22, 2024 · 3:47 PM UTC",0,0,0.0
https://twitter.com/globaldtt/status/1749458634638069892#m,"This week is anticipated to be pivotal for the financial markets as numerous major corporations are set to unveil their quarterly earnings reports. With a diverse range of industries represented in these earnings releases, including technology, finance, and consumer goods, the week is poised to be a key determinant of market direction and the broader economic landscape.  Tuesday January 23: J&j Netflix Procter & Gamble GE  Wednesday January 24: Tesla ASML SAP IBM  Thursday January 25: Visa Luis Vuitton ADR Intel  #Earnings #Tesla #Netflix #GE #Stocks #Nasdaq #DowJones #SP500 #ASML #SAP #IBM #Intel #Visa #LV #FinancialMarkets #StockMarket #DirectTT #DTT","Jan 22, 2024 · 3:46 PM UTC",0,0,0.296
https://twitter.com/thefuture_uni/status/1709478963993522272#m,Want to optimize your Trading Strategies! 🚀  Join our Live Class to learn Proven Strategies and Maximize Trading Success💼   Discover the Power of Systematic Approaches from Expert Trader. Enroll Now in our #System #Trading course. #FinancialMarkets #TradingSuccess,"Oct 4, 2023 · 8:02 AM UTC",1068,69,0.7177
https://twitter.com/Tickermarket/status/1747961715692847350#m,"Depending on the decisions made in navigating the financial markets, your money could be working hard for you or relaxing. To make it work you need a powerful market data analysis solution.  Market Data? Ab No Fikar! Know more: https://www.tickermarket.com/#/home #Ticker #userfriendly #Trigr","Jan 18, 2024 · 12:38 PM UTC",28,1,0.7177
https://twitter.com/aurelian_costel/status/1749458235906564463#m,Financial markets live https://www.teletrader.com/us-opens-higher-ahead-of-earnings-data/news/details/61310227 via @TeleTrader,"Jan 22, 2024 · 3:45 PM UTC",0,0,0.0
https://twitter.com/inquirerdotnet/status/1749332289341772145#m,S. Korea to make financial markets more attractive—regulator https://trib.al/X4LdzvZ,"Jan 22, 2024 · 7:24 AM UTC",1,0,0.0
https://twitter.com/KlausUncle/status/1749457873350852693#m,"WEF, the masonic cult of fearmongering billionaires power, comes from manipulation of commodities, financial markets, corrupt politicians, judiciary and importantly science.  We stop them by saying NO  That starts with accommodating their imported WHO compliance Army in 5* Hotels","Jan 22, 2024 · 3:43 PM UTC",1,0,-0.6166
https://twitter.com/APompliano/status/1748761862575952040#m,"Here are a few ideas on financial markets that will make you think more critically:  1. Tech will continue to outperform - many people think the tech sectors' recent outperformance means we are headed towards another Dot Com bust, but the deflationary aspect of technology, along with the global adoption now available for these products, will probably keep the outperformance going for years to come.  2. Historical stock valuations are likely wrong - investors used to allocate to stocks simply to capture a potential reward, but now a good portion of investors are also allocating to stocks to hide from higher inflation levels. This leads to a new monetary premium on stock valuations that will render historical valuations less useful.  3. The 60/40 portfolio will die - the legacy thought process was that this allocation mix could protect investors, but we saw over the last few years that stocks and bonds both went down, so the theory didn't work as intended. The new generation, which has less trust in central banks, will shun bonds and the largest Treasury buyers (foreign central banks) are also showing less interest.  4. All assets will become digital over time - the transition from analog assets to electronic CUSIPs created trillions of dollars in value. The shift from electronic to digital will be even bigger (ex: stablecoins already proving this) and an asset like bitcoin will eventually have higher market cap than gold.   5. Countries will have to retrain workers - wages have no chance of keeping up with inflation, so countries will have to make large investments in retraining workers. They will move too slowly and entire generations will suffer. The best path would be to redesign the education system from the ground up, but that is also the hardest path.   6. There will be a renaissance of small business globally - historically these small businesses were physical locations on Main Street, but now they are ecommerce stores, content creators, and digital agencies. As labor creates these businesses, there will be little capital invested, so the returns captured by Main Street business investors in past decades will disappear.   7. Developed nations will continue electing radical economic thinkers - the internet open-sourced information and the countries in the worst economic positions will take a flyer on disruptive politicians. You can see Bukele in El Salvador and Milei in Argentina as examples, but these innovators have better chance of turning these economies around than traditional politicians.   8. Demographics will become less important signal for investors - the demographics data has always told the story of economies and markets, but that will change with the rise of robotics. You won't need to measure demographics of humans, but rather the production lines of robot manufacturers. Whichever economy has the most robots, wins.   9. Inflation targets will increase - central banks find themselves in a bad position and have no choice but to stick with loose monetary policy over the long-term. They will increase their inflation targets to 3% or more, so they can continue to present a sense of control over economies, although the true inflation number will always be higher than reported.   10. Traditional economic data will be exposed for inaccuracy - legacy investors have been using data that is flawed to make decisions. The collection is filled with issues (ex: we send physical humans into grocery stores to report prices), the methodology is inaccurate (ex: weighted baskets can't ever reflect accurate inflation), and the conclusions are erroneous (ex: every person has a different inflation number). Getting new data will change the way capital is allocated & be the foundation for the future.   -------  This list is not comprehensive of everything that will change, but this is a decent overview of various evolutions I have been thinking about.   I would love to learn what you think about these, while also hearing what other ones you think are important.   Please respond with your feedback and ideas -- the more people that participate, the more we can all learn together :)","Jan 20, 2024 · 5:38 PM UTC",880,75,0.9917
https://twitter.com/TraderRozay/status/1741352333458497601#m,"In the realm of financial markets, There exists a profound wisdom encapsulated in the phrase,   ""𝐊𝐢𝐥𝐥 𝐓𝐡𝐞 𝐁𝐨𝐲, 𝐋𝐞𝐭 𝐓𝐡𝐞 𝐌𝐚𝐧 𝐁𝐞 𝐁𝐨𝐫𝐧.""","Dec 31, 2023 · 6:55 AM UTC",212,34,0.5267
https://twitter.com/readJerome/status/1749453683102818786#m,I wrote about how Ghana successfully completing the first review of its IMF programme could help financial markets. https://www.ceditalk.com/2024/01/how-imfs-second-disbursement-can-boost-markets/,"Jan 22, 2024 · 3:27 PM UTC",9,1,0.7096
https://twitter.com/aurelian_costel/status/1749457584887627922#m,Financial markets live https://www.teletrader.com/oil-run-up-undeterred-by-rising-dollar/news/details/33472373 via @TeleTrader,"Jan 22, 2024 · 3:42 PM UTC",0,0,0.0
https://twitter.com/Digitalbuccukoo/status/1749457132909429211#m,"I think to assume the clown show that is worldwide politics actually decides anything, especially as important as world financial markets is extremely stupid","Jan 22, 2024 · 3:40 PM UTC",0,0,-0.3848
https://twitter.com/AndyLangenkamp/status/1749456627302846804#m,"Is it only a matter of time before financial markets are affected substantially by geopolitical risks, or are investors correct in assessing that a host of geopolitical dangers are indeed hanging over the markets, but that their impact will be limited? https://ecrresearch.com/research/global-political-analysis","Jan 22, 2024 · 3:38 PM UTC",0,0,-0.6577
